word,Positive,Negative
chen chúc,0,1
chết,0,1
chết chóc,0,1
chết người,0,1
chết tiệt,0,1
chó cái,0,1
chọc tức,1,1
chống đối,0,1
chống đối xã hội,0,1
chu toàn,1,0
chưa thực hiện,0,1
có duyên,1,0
có hại,0,1
có triển vọng,1,0
cổ vũ,1,0
coi nhẹ,0,1
cực điểm,1,0
cúng tế,1,0
cười thầm,1,0
dã ngoại,1,0
đẫm máu,0,1
đáng chết treo,0,1
đáng trách,0,1
đáng treo cổ,0,1
đắt,0,1
đắt đỏ,0,1
đắt giá,0,1
đắt tiền,0,1
đày,0,1
đầy căm hờn,0,1
đầy căm thù,0,1
đầy hứa hẹn,1,0
đầy máu,0,1
dễ mắc lừa,0,1
đền bù,1,0
di sản,1,0
đi theo,1,0
địa chấn,0,1
điên cuồng,0,1
đỉnh cao,1,0
độc ác,0,1
độc lập,1,0
đồi bại,0,1
động đất,0,1
đồng tình,1,0
dữ dội,1,1
gay gắt,0,1
giả bộ,0,1
gia tăng,1,0
giam cầm,0,1
giấu,0,1
giấu giếm,0,1
giết người,0,1
giọng trầm bổng,1,0
gò bó,0,1
hài cốt,1,1
hạn chế,0,1
hận thù,0,1
háo hức,1,0
hậu quả,0,1
hiến dâng,1,0
hiu quạnh,0,1
hòa hiệp,1,0
hoàn thiện,1,0
hoang vu,0,1
hung bạo,0,1
hung dữ,1,1
hung hãn,0,1
hung tợn,0,1
huyền diệu,1,0
huyên náo,1,1
hy vọng,1,0
kế nghiệp,1,0
kế vị,1,0
kết án,0,1
khắc nghiệt,0,1
khát khao,1,1
khó khăn,0,1
khố rách áo ôm,0,1
khoan hồng,1,0
khốc liệt,0,1
không chắc,0,1
không có tiền,0,1
không được hợp tác,0,1
không được phối hợp,0,1
không hài lòng,0,1
không kiên định,0,1
không một xu dính túi,0,1
không nhà không cửa,0,1
không thể chữa được,0,1
không tiền,0,1
khuyến khích,1,0
kín đáo,1,0
kin khủng,0,1
kinh khủng,0,1
lạc quan,1,0
lạm dụng,0,1
làm ghê tởm,0,1
làm kinh tởm,0,1
làm nô lệ,0,1
làm tởm,0,1
lễ kỷ niệm,1,0
lén lút,0,1
lo ngại,0,1
loét,0,1
lời khen,1,0
lòng tốt,1,0
ma quỷ,0,1
mắc,0,1
mạnh dần,1,0
mặt trời,1,0
máu me,0,1
máu me be bét,0,1
mến yêu,1,0
méo mó,0,1
mối lo,0,1
mong mỏi,1,1
mong ước,1,0
một thần,0,1
mù hoàn toàn,0,1
nắm lấy,1,0
nan y,0,1
náo nhiệt,1,1
nghèo rớt mồng tơi,0,1
người tình,1,0
người yêu,1,0
nhăn nhở,1,0
nhọt,0,1
như địa ngục,0,1
nhục nhã,0,1
nô dịch,0,1
nữ thần báo tử,0,1
nửa người,0,1
ô nhục,0,1
phaần bù,1,0
phạm tội nghiêm trọng,0,1
phản bội,0,1
phế tích,1,1
phép màu,1,0
phụ bạc,0,1
quái thai,0,1
quỷ quái,0,1
rạng sáng,1,0
rối rắm,0,1
rộng lượng,1,0
ruồng bỏ,0,1
sân chơi,1,0
sự lộng hành,0,1
sự ôm hôn,1,0
sự phá sản,0,1
sự run rẩy,0,1
sự tha hóa,0,1
sự thù oán,0,1
sự ủng hộ tích cực,1,0
tài năng,1,0
tán dương,1,0
tàn khốc,0,1
tàn tích,1,1
tán tụng,1,0
tăng lên,1,0
tệ hại,0,1
thái dương,1,0
thảm khốc,0,1
thẩm mĩ,1,0
tham nhũng,0,1
thần kỳ,1,0
thánh ca,1,0
thành công,1,0
thành kiến,0,1
thật thà,1,0
thi hài,1,1
thiện trí,1,0
thợ thủ công,1,0
thối nát,0,1
thông cảm,1,0
thông thạo,1,0
thù địch,0,1
thú vị,1,0
thu xếp,1,0
thừa kế,1,0
thương lượng,1,0
tiến bộ,1,0
tiến lên,1,0
tin mù quáng,0,1
toe toét,1,0
tối tăm,0,1
tồi tệ,0,1
tổn thương,0,1
tôn vinh,1,0
tốt,1,0
trái pháp luật,0,1
trái với đạo đức,0,1
tràn trề hy vọng,1,0
trật khớp,0,1
trêu,1,1
triển vọng,1,0
trình bày,1,0
trình diến,1,0
trống trải,0,1
trục xuất,0,1
tù nhân,0,1
tử tế,1,0
túng quẫn,0,1
tưởng tượng,1,1
nhọt,0,1
vắng vẻ,0,1
vấy máu,0,1
vi phạm,0,1
vĩnh cửu,1,0
vịnh nhỏ,0,0
vô lễ,0,1
vỡ nợ,0,1
vô tư,1,0
xâm nhập,0,1
xem thường,0,1
yêu dấu,1,0
yêu mến,1,0
yêu thương,1,0
ác độc,0,1
ái ngại,0,1
âm âm,0,1
âm âm u u,0,1
âm ỉ,0,1
ám muội,0,1
âm u,0,1
an ủi,1,0
anh hùng,1,0
bạc,1,0
bẩn,0,1
ban lệnh,1,0
ban phúc,1,0
ban phước,1,0
bạn thân,1,0
báo hại,0,1
bạo lực,0,1
bạo ngược,0,1
bảo vệ,1,0
bắt cóc,0,1
bất công,0,1
bắt ép,0,1
bất hạnh,0,1
bất lương,0,1
bất ổn,0,1
bất tiện,0,1
bất tỉnh,0,1
bất tỉnh nhân sự,0,1
bất trị,0,1
bất tuân,0,1
bậy bạ,0,1
be bét,0,1
bế mạc,1,0
bềnh bồng,0,0
bệnh than,0,1
bị công kích,0,1
bị huỷ hoại,0,1
bị lạc,0,1
bị loại,0,1
bị tấn công,0,1
bị thất sủng,0,1
bị thương tổn,0,1
bị truy nã,0,1
bị tước quyền công dân,0,1
biến mất,0,1
biết trước,1,0
bơi,1,0
bôi bạc,0,1
bội bạc,0,1
bồng bềnh,0,0
brute,0,1
bửn,0,1
bừng bừng lửa hận,0,1
bừng sáng,1,0
buôn lậu,0,1
buồn phiền,0,1
cá heo,1,0
cái bổ sung,1,0
cãi nhau,0,1
căn nguyên,1,0
cân nhắc,1,0
cao cả,1,0
cao quý,1,0
cao thượng,1,0
cấp cứu,0,1
cau có,0,1
cầu kỳ,1,0
cau mày,0,1
cay đắng,0,1
chấm dứt,1,0
chán nản,0,1
chân thành,1,0
chấn thương,0,1
cháu,1,0
châu báu,1,0
chảy máu,0,1
che đậy,0,1
chèn ép,0,1
chi phối,1,1
chia sẻ,1,0
chiếm hữu,1,0
chiến thắng,1,0
chiếu sáng,1,0
chỗ thần bí,1,0
chơi bời phóng đãng,0,1
chơi khăm,0,1
chói tai,0,1
chơi xỏ,0,1
chót lọt,1,0
chu đáo,1,0
chú hề,1,0
Chữa lành,1,0
Chúa tể,1,1
chứng nào tật nấy,0,1
chuộc lỗi,1,0
chuyến đi,1,0
chuyện yêu đương,1,0
có khả năng phối hợp,1,0
có khuynh hướng kết hợp,1,0
có lương tâm,1,0
có máu nóng,0,1
có mụn,0,1
có mụn nhọt,0,1
có nhọt,0,1
có thể nhận thức được,1,0
có ý xấu,0,1
côn đồ,0,1
công hiệu,1,0
cưới hỏi,1,0
cười phá lên,1,0
cứu giúp,1,0
cứu nguy,1,0
đa cảm,0,1
đã dọn dẹp,1,0
đã dọn sạch,1,0
dã man,0,1
đã phát quang,1,0
đa sầu đa cảm,0,1
đặc hữu,0,1
đắc thắng,1,0
đáng nguyền rủa,0,1
đau buồn,0,1
đau khổ,0,1
đẫy đà,1,0
đay nghiến,0,1
dễ ấn tượng,1,0
dễ bị ấn tượng,1,0
dễ nổi cáu,0,1
đền tội,1,0
dị,0,1
điên dại,0,1
diệu kì,1,0
điều sung sướng,1,0
điêu trá,0,1
đính hôn,1,0
dỗ dành,1,0
đoàn kết,1,0
độc tài,0,1
đóng kín,1,0
đốt lửa cháy,0,1
dữ,0,1
dữ tợn,0,1
dũng cảm,1,0
đụng độ,0,1
dưới chiều cao trung bình,0,1
ép buộc,0,1
gan dạ,1,0
gắt gỏng,0,1
gây ấn tượng,1,0
gây bạo động,0,1
gãy khúc,0,1
gây tai họa,0,1
ghê rợn,0,1
ghê sợ,0,1
ghê tởm,0,1
ghét,0,1
ghi bàn,1,0
giải phóng,1,0
giải thoát,1,0
giảm giá trị,0,1
giáo hội,1,0
giàu ý tưởng,1,0
gớm guốc,0,1
hai lòng,0,1
hại sức khỏe,0,1
hăm hở,1,0
hân hoan,1,0
hang hái,1,0
hạng sang,1,0
hãnh diện,1,0
hạnh phúc,1,0
hành trình,1,0
hao mòn,0,1
háo sắc,0,1
hay rầy la,0,1
hay thù hằn,0,1
hay vui đùa,1,0
héo hon,0,1
hổ thẹn,0,1
Hoài bão,1,0
hoàng kim,1,0
hốc hác,0,1
Hôi,0,1
hồi hộp,1,0
hồi phục,1,0
hớn hở,1,0
hôn nhân,1,0
hống hách,0,1
hứa hẹn,1,0
hung ác,0,1
hưng thịnh,1,0
hứng thú,1,0
hưởng thụ,1,0
hủy diệt,0,1
im ắng,0,1
im bặt,0,1
inh tai nhức óc,0,1
kẻ ám sát,0,1
kẻ thù,0,1
kết đôi,1,0
kết thúc,1,0
khẩn cấp,0,1
khao khát,1,0
khát vọng,1,0
khéo léo,1,0
khép mình,0,1
khó chịu,0,1
khổ cực,0,1
khó dậy,0,1
khổ sở,0,1
khoác lác,0,1
khốn khổ,0,1
khốn khổ khốn nạn,0,1
khốn nạn,0,1
không ai nhìn nhận,0,1
không chấp,0,1
không chữa được,0,1
không chung thuỷ,0,1
không có hình dáng cân đối,0,1
không có hình dáng đẹp,0,1
không công bằng,0,1
không công tâm,0,1
không dây,1,0
không để ý,0,1
không dùng được nữa,0,1
không được trồng trọt,0,1
không hạnh phúc,0,1
không khuyết điểm,1,0
không mệt mỏi,1,0
không nói được,0,1
không quan tâm,0,1
không sáng,0,1
không sinh lợi,0,1
không sinh sản,0,1
không suy nghĩ,0,1
không thể cứu chữa,0,1
không thể đoán,0,1
không thể dự đoán,0,1
không thể hoà giải,0,1
không thể nói trước,0,1
không thể tưởng tượng,0,1
không thích hợp,0,1
không thương tiếc,0,1
không thuỷ chung,0,1
không tì vết,1,0
không trả công,0,1
không trả lương,0,1
không trung thực,0,1
không tương thích,0,1
không vững,0,1
khủng khiếp,0,1
khuyên giải,1,0
kỉ niệm,1,0
kì quặc,0,1
kịch tính,1,0
kinh hãi,0,1
kinh hoàng,0,1
kính mến,1,0
kinh ngạc,0,1
kinh tởm,0,1
kính trọng,1,0
kỳ cục,0,1
kỳ diệu,1,0
kỳ quặc,0,1
làm bẩn,0,1
làm chủ,1,0
làm hại,0,1
làm hỏng,0,1
lầm lạc,0,1
lấm lét,0,1
làm ô danh,0,1
làm săn chắc da,1,0
làm săn da,1,0
làm se da,1,0
lanh lợi,1,0
lảo đảo,0,1
lập dị,0,1
lấp lánh,1,0
láu cá,0,1
lễ cưới,1,0
lễ hội,1,0
lênh đênh,0,1
liên hoan,1,0
lo lắng bồn chồn,0,1
lở tuyết,0,1
loã lồ,0,1
loại trừ,0,1
lớn lên,1,0
lòng lang dạ sói,0,1
lòng tin,1,0
lót vào,1,0
lừa bịp,0,1
luật sư,1,0
ly kỳ,1,0
mắc tội,0,1
Mai phục,0,1
man rợ,0,1
mạnh mẽ,1,0
mất tập trung,0,1
mất trí,0,1
mau lên,1,1
mẫu mực,1,0
máu nóng,0,1
màu trắng,1,0
máy thu thanh,1,0
mê hoặc,0,1
mê hồn,0,1
mê muội,0,1
mờ ám,0,1
mơ màng,0,1
mọc mầm,1,0
nắm vững,1,0
nắng,1,0
nâng cao,1,0
nâng đỡ,1,0
nặng nhọc,0,1
náo động,0,1
ngất,0,1
ngất xỉu,0,1
ngày lễ,1,0
ngây ngất,1,0
ngỗ nghịch,0,1
ngôi sao,1,0
ngọt ngào,1,0
ngu xuẩn,0,1
người đần độn,0,1
người được ủy quyền,1,0
người hâm mộ,1,0
người tin mù quáng,0,1
nguồn gốc,1,0
nguy hiểm,0,1
nguy kịch,0,1
nguy ngập,0,1
nhà thờ,1,0
nhăn nhó,0,1
nhẵn nhụi,1,0
nhanh nhẹn,1,0
nhất,1,0
nhát gan,0,1
nhiễm,0,1
nhiệm màu,1,0
nhiệm mầu,1,0
nhiệt tình,1,0
nhiều tranh cãi,0,1
nhỏ xíu,0,1
nhói óc,0,1
nhớp nhúa,0,1
nhựa thơm,1,1
nhức óc,0,1
nổi lênh đênh,0,0
nơi tôn nghiêm,1,0
ô nhiễm,0,1
ở thiên đường,1,0
ốc đảo,1,0
ốm yếu,0,1
phá,0,1
phá hoại,0,1
phá hỏng,0,1
phá hủy,0,1
phá sản,0,1
phạm tội,0,1
phấn khởi,1,0
phán quyết,1,0
phần tốt nhất,1,0
phao,1,0
phát triển,1,0
phẫu thuật,0,0
phép mầu,1,0
phi sản xuất,0,1
phi thường,1,0
phiền muộn,0,1
phiêu bạt,0,1
phong tê thấp,0,1
phóng thích,1,0
phu nhân,1,0
phụ tình,0,1
phục kích,0,1
phước lành,1,0
quà tặng,1,0
quá tuyệt vời,1,0
quái đản,0,1
quang vinh,1,0
quen thuộc,1,0
quý giá,1,0
quý trọng,1,0
rađiô,1,0
rẻ,1,0
rối loạn,0,1
rối như tơ vò,0,1
rực rỡ,1,0
rùng rợn,0,1
ruy băng,1,0
sai luật,0,1
sẫm lại,0,1
sạm lại,0,1
sậm lại,0,1
sẳn lòng,1,0
sản lượng cao,1,0
sẵn sàng,1,0
sáng,1,0
sáng chói,1,0
say mê,1,0
siêu phàm,1,0
siêu việt,1,0
sô cô la,1,0
số may,1,0
sở trường,1,0
sôi nổi,1,0
soi sáng,1,0
sự ám sát,0,1
sự đau đớn,0,1
sự giáng sinh của chúa,1,0
sự suy sụp,0,1
sự xua đuổi,0,1
sưng,0,1
sùng bái,1,0
sùng đạo,1,0
sung mãn,1,0
sung sướng,1,0
sưng tấy,0,1
sụp đổ,0,1
taán tỉnh,1,0
tai ách,0,1
tai họa,0,1
tai nạn,0,1
tai ương,0,1
tâm sự,1,0
tàn bạo,0,1
tàn phá,0,1
tê liệt,0,1
teo đi,0,1
teo tóp,0,1
thạch tím,0,1
tham vọng,1,0
thần kì,1,0
thân mật,1,0
thần thánh,1,0
thân thiện,1,0
thân thiết,1,0
thanh danh,1,0
Thánh địa,1,0
thành tâm,1,0
thành tích,1,0
thanh toán,1,0
thành tựu,1,0
thấp khớp,0,1
thất kinh,0,1
thất thường,0,1
thất trận,0,1
thất vọng,0,1
thấy trước,1,0
thêu dệt,0,1
thích thú,1,0
thiêng,1,0
thiêng liêng,1,0
thiếu công bằng,0,1
thiếu công tâm,0,1
thiếu thốn tình cảm,0,1
thô tục,0,1
thống khổ,0,1
thông minh,1,0
thống trị,1,1
thù nghịch,0,1
thủ tiêu,0,1
thứ xấu,0,1
thuận lợi,1,0
thuốc bổ,1,0
thuộc loại sang,1,0
thuộc loại sang trọng,1,0
thương tích,0,1
thuỷ chung,1,0
tỉ mỉ,1,0
tiền lương,1,0
tiên tiến,1,0
tiếng cười,1,0
tiếng đi nặng nề,0,1
tiêu diệt,0,1
tiêu hủy,0,1
tìm hiểu,1,0
tin cây,1,0
tính ác,0,1
tình dục,1,0
tinh hoa,1,0
tỉnh lại,1,0
tình sự,1,0
tinh tú,1,0
tinh túy,1,0
tinh xảo,1,0
tỏ tình,1,0
toàn năng,1,0
tối lại,0,1
tôn phong,1,0
tôn sùng,1,0
tôn thờ,1,0
tôn trọng,1,0
trả tiền,1,0
trái phép,0,1
trái ý,0,1
triị bệnh,1,0
trò hề,1,0
trở thành nhẫn tâm,0,1
trôi giạt,0,1
trọng vọng,1,0
trung bình,0,1
trường tồn,1,0
tự hào,1,0
tước đoạt,0,1
tươi sáng,1,0
tuyệt diệu,1,0
tuyệt hảo,1,0
tuyệt phẩm,1,0
tuyệt trần,1,0
tuyệt vọng,0,1
tỷ mỉ,1,0
u tối,0,1
ưa nhục dục,0,1
ưu thế,1,0
va chạm,0,1
vàng,1,0
vết thương,0,1
vĩ đại,1,0
vị đắng,0,1
vi khuẩn,0,1
viêm khớp,0,1
viêm nhiễm,0,1
viêm tấy,0,1
viễn chinh,0,0
vĩnh hằng,1,0
vô cực,1,0
vô cùng,1,1
vô giá,1,0
vô lại,0,1
vô phương cứu chữa,0,1
vô tận,1,0
vỗ tay,1,0
vô vọng,0,1
vũ khí,1,1
vụ nổ,0,1
vũ trang,1,1
vua,1,1
vừa vặn,1,0
vui mừng,1,0
xác xơ,0,1
xấu xa,0,1
xem xét,1,0
xiên xẹo,0,1
xơ xác,0,1
xóc,0,1
xuất hiện,1,0
xúc động,1,0
xuống cấp,0,1
yếu kém,0,1
ác,0,1
ai oán,0,1
ầm ầm,0,1
ấm áp,1,0
ấm cúng,1,0
ảm đạm,0,1
ám sát,0,1
âm tính,1,0
an toàn,1,0
ào ào,0,1
áo giáp,1,0
ảo não,0,1
ảo tưởng,0,1
âu sầu,0,1
âu yếm,1,0
áy náy,0,1
bả,0,1
bạ đâu vứt đấy,0,1
ba que xỏ lá,0,1
bạc bẽo,0,1
Bạch Mã hoàng tử,1,0
bài bạc,0,1
bại liệt,0,1
bầm tím,0,1
bạn,1,0
bẩn be bét,0,1
bẩn bê bết,0,1
bần cùng,0,1
bạn đồng hành,1,0
bẳn gắt,0,1
bản lĩnh,1,0
bắn phá,0,1
bẳn tính,0,1
báng bổ,0,1
bằng một tai,0,1
bảnh bao,1,0
báo động,0,1
bạo hành,0,1
bạo loạn,0,1
bão tố,0,1
bảo toàn,1,0
bảo tồn,1,0
bất bình,0,1
bắt đầu nảy nở,1,0
bất đồng chính kiến,0,1
bất khả thi,0,1
bất kính,0,1
bắt nạt,0,1
bát nháo,0,1
bất tài,0,1
bất tài vô dụng,0,1
bất xứng,0,1
bầu bạn,1,0
bầy nhầy,0,1
bén,0,1
bền chắc,1,0
béo,0,1
bí ẩn,0,0
bị biên tịch,0,1
bị bỏ rơi,0,1
bị bong,0,1
bị bong ra,0,1
bị bóp méo,0,1
bị cáo,0,0
bị cất giấu,0,1
bị chơi ngải,0,1
bị chôn giấu,0,1
bị chua,0,1
bị dừng lại,0,1
bị ếm,0,1
bị giam cầm,0,1
bị hỏng vứt đi,0,1
bị kết tội,0,1
bi kịch,0,1
bị kiện,0,0
bị làm phiền,0,1
bị lên men,0,1
bị ngừng lại,0,1
bị ôi,0,1
bi quan,0,1
bị rời,0,1
bị rời ra,0,1
bị sung công,0,1
bị thất tình,0,1
bị thiu,0,1
bị thư ngải,0,1
bị tịch thu,0,1
bị tổn thương,0,1
bị trật,0,1
bị trật khớp,0,1
bị trói chặt,0,0
bị trù ếm,0,1
bị tước quyền bầu cử,0,1
bị yểm bùa,0,1
bịa đặt,0,1
biến dạng,0,1
biến đổi,0,0
biến hoá,0,0
biết nói,1,0
biểu lộ thành kiến,0,1
bình chân như vại,0,1
bình đẳng,1,0
bịt mắt,0,0
bò con,1,0
bội nghĩa,0,1
bồn chồn,0,1
bóng đá,1,0
bóng láng,1,0
bóng rổ,1,0
bù nhìn,1,1
bực,0,1
bức bối,0,1
bực bội,0,1
bực dọc,0,1
bực mình,0,1
bực tức,0,1
bừng bừng lửa giận,0,1
buồn chán,0,1
buồn rầu,0,1
buồn thiu,0,1
buốt nhói,0,1
bứt rứt,0,1
cá cược,0,1
cá tính,1,0
cải tiến,1,0
căm,0,1
cam chịu,0,1
cám dỗ,1,1
căm giận,0,1
căm hờn,0,1
cảm hứng,1,0
cam kết,1,0
căm phẫn,0,1
cảm thông,1,0
căm thù,0,1
căm tức,0,1
cân đối,1,0
cẩn thận,0,1
cận thị,0,1
cảnh nô lệ,0,1
cảnh sát,1,0
cảnh tù tội,0,1
cao hơn,1,0
cấp phép,1,0
cáu,0,1
cáu gắt,0,1
cáu giận,0,1
cáu kỉnh,0,1
cẩu thả,0,1
cay nghiệt,0,1
cây xanh,1,0
chắc chắn,1,0
chải chuốt,1,0
chải chuốt cầu kì,1,0
châm chọc,0,1
chán ngấy,0,1
chật cứng,0,1
chật ních,0,1
chất quá đầy,0,1
chất quá nặng,0,1
chê trách,0,1
chệch,0,1
chết điếng,0,1
chết điếng người,0,1
chết lặng,0,1
chín muồi,1,0
chính,1,0
chờ đợi,0,1
cho phép,1,0
chói mắt,0,1
chối tai,0,1
chôn cất,0,1
chưa bán được,0,1
chưa giải quyết,0,1
chưa gọt giũa,0,1
chưa mài giũa,0,1
chua ngoa,0,1
chưa thanh toán,0,1
chúa trời,1,0
chua xót,0,1
chửi rủa,0,1
chung thuỷ,1,0
chướng tai gai mắt,0,1
chuyện liến thoắng,0,1
chuyên tâm,1,0
cờ bạc,0,1
có bóng mát,1,0
có bóng râm,1,0
cơ cực,0,1
cỏ dại,0,1
có đường nối,1,0
có gu thẩm mĩ,1,0
có gu thẩm mỹ,1,0
có hạn,0,1
có học,1,0
có hứng thú,1,0
có khả năng,1,0
có khiếu nhạc,1,0
có khiếu thẩm mĩ,1,0
có khiếu thẩm mỹ,1,0
có luận chứng,1,0
có ma,0,1
có mắt thẫm mĩ,1,0
có mắt thẫm mỹ,1,0
có mùi ôi thiu,0,1
có óc thẩm mĩ,1,0
có óc thẩm mỹ,1,0
có tài năng âm nhạc,1,0
có thẩm mĩ,1,0
có thẩm mỹ,1,0
có thể tái tạo,1,0
có tính thám hiểm,0,0
có tội,0,1
cộc cằn,0,1
coi chừng,0,1
còn nguyên vẹn,1,0
cơn thịnh nộ,0,1
công an,1,0
cống hiến,1,0
công kíc,0,1
công tâm,1,0
cốt lõi,1,0
cự tuyệt,0,1
cục cằn,0,1
cực khoái,1,0
cún yêu,1,0
cuộc may rủi,0,1
cuốn hút,1,0
cuồng bạo,0,1
cưỡng bức,0,1
cương cứng,0,0
cuồng điên,0,1
đã chế biến,1,0
đã được công nhận,1,0
đa kháng thể,1,0
đã quên,0,1
đa số,1,0
đã thuần dưỡng,1,0
đã xử lí,1,0
dai dẳng,0,1
đãi tiệc,1,0
dâm đãng,0,1
dâm dật,0,1
dâm dục,0,1
đám ma,0,1
dâm ô,0,1
dâm tà,0,1
đáng ca tụng,1,0
đáng ghét,0,1
đáng khen ngợi,1,0
đáng khinh,0,1
đăng quang,1,0
đáng sợ,0,1
đáng tin cậy,1,0
đáng tuyên dương,1,0
đánh bạc,0,1
đanh đá,0,1
đánh đập,0,1
đánh lừa,0,1
đảo lộn,0,1
đào tạo,1,0
dấp dính,0,1
đầu độc,0,1
đầu đường xó chợ,0,1
đầu gấu,0,1
đầu lòng,0,0
dấu yêu,1,0
đầy,0,1
đầy ăm ắp,1,0
đầy ắp,1,0
đầy mầm bệnh,0,1
đầy thiện cảm,1,0
đầy tràn,1,0
dể bảo,1,0
dễ bị hại,0,1
dễ bị lừa,0,1
dễ cáu kỉnh,0,1
dễ gần,1,0
dễ gạt,0,1
dễ hấp thụ,1,0
dễ học,1,0
dễ kích động,0,1
dễ lừa,0,1
dễ nổi nóng,0,1
dễ nóng giận,0,1
đề phòng,0,1
dể tin,0,1
dễ tức,0,1
dễ ưa,1,0
dễ vỡ,0,1
đen,0,1
đểu,0,1
đều đặn,1,0
đểu giả,0,1
đi lính,1,0
đi nghỉ,1,0
địch,0,1
đích thực,1,0
điểm không,0,1
điện,1,0
điên tiết,0,1
diệt khuẩn,1,0
điều trị,1,0
đơ,0,1
đờ,0,1
đờ đẫn,0,1
do dự,0,1
dở hơi,0,1
dở hơn,0,1
đồ khốn,0,1
đổ nát,0,1
đồ ngu,0,1
đoán trước,0,1
độc địa,0,1
độc thần,0,0
đói,0,1
đối địch,0,1
đổi màu,0,1
đổi mới,1,0
đơn phương,0,1
đồng bóng,0,1
đỏng đảnh,1,0
đốt nhà,0,1
đốt phá,0,1
đủ ăn,1,0
đủ lông đủ cánh,1,0
đứa bé,1,0
dựa dẫm,1,1
đứa trẻ,1,0
đúng,1,0
đứng đầu,1,0
đúng luật,1,0
đụng nhau,0,1
được ban phúc,1,0
được bảo vệ,1,0
được cải tạo,1,0
được cải thiện,1,0
được canh giữ,1,0
được canh phòng,1,0
được chiều,0,0
được chọn lọc,1,0
được cổ vũ,1,0
được cưng chiều,0,0
được động chạm,1,0
được đóng dấu,1,0
được động viên,1,0
được giữ gìn,1,0
được giúp,1,0
được hỗ trợ,1,0
được khuyến khích,1,0
được lọc lựa,1,0
được nâng cấp,1,0
được niêm phong,1,0
được phát triển,1,0
được phòng vệ,1,0
được siết chặt,1,0
được thiên vị,0,0
được trang trí,1,0
được trợ giúp,1,0
được tuyển,1,0
được tuyển chọn,1,0
được ưa thích,1,0
duy trì,1,0
eo hẹp,0,1
gan chuột nhắt,0,1
gần gũi,1,0
gần gụi,1,0
gan thỏ đế,0,1
gắt,0,1
gặt hái,1,0
gầy gò,0,1
gây hấn,0,1
gây kinh hoàng,0,1
gây nghẹt thở,0,1
gây ngột ngạt,0,1
gây run,0,1
gây sốc,0,1
gây tai nạn rồi bỏ trốn,0,1
gây thiện cảm,1,0
gây tranh cãi,0,1
ghét cay ghét đắng,0,1
giả tạo,0,1
giận,0,1
giận điên,0,1
giận điên người,0,1
giận dỗi,0,1
giận dữ,0,1
gian lận,0,1
giận tái người,0,1
giận tím gan,0,1
gian trá,0,1
gian xảo,0,1
giông bão,0,1
giống thật,1,0
giông tố,0,1
giữ gin,1,0
giúp đỡ,1,0
hà khắc,0,1
haăng hái,1,0
hài hòa,1,0
hãi hùng,0,1
hài lòng,1,0
ham biết,1,0
hâm mộ,1,0
hạn hẹp,0,1
hằn học,0,1
hạng bét,0,1
hăng hái,1,0
hành động,0,1
hành hạ,0,1
hành hung,0,1
hào hoa phong nhã,1,0
hào phóng,1,0
hảo tâm,1,0
hấp dẫn,1,0
hậu môn,0,1
hay cãi nhau,0,1
hay gắt gỏng,0,1
hay hằn học,0,1
